time,open,high,low,close,tick_volume,spread,real_volume
2026-04-30 17:45:00,4617.76,4620.17,4617.17,4618.65,627,130,0
2026-04-30 17:46:00,4618.66,4623.02,4618.61,4622.36,653,130,0
2026-04-30 17:47:00,4622.31,4622.9,4620.36,4620.78,610,130,0
2026-04-30 17:48:00,4620.8,4621.68,4618.61,4619.91,562,130,0
2026-04-30 17:49:00,4619.92,4620.66,4619.04,4619.3,581,130,0
2026-04-30 17:50:00,4619.29,4623.17,4618.76,4621.15,625,130,0
2026-04-30 17:51:00,4621.14,4623.59,4620.08,4623.21,637,130,0
2026-04-30 17:52:00,4623.17,4623.91,4620.87,4622.23,691,130,0
2026-04-30 17:53:00,4622.27,4623.26,4621.25,4623.07,664,130,0
2026-04-30 17:54:00,4623.01,4623.43,4621.24,4621.6,603,130,0
2026-04-30 17:55:00,4621.64,4621.64,4617.94,4618.68,602,130,0
2026-04-30 17:56:00,4618.68,4620.89,4618.43,4619.86,591,130,0
2026-04-30 17:57:00,4619.88,4621.1,4618.37,4620.06,692,130,0
2026-04-30 17:58:00,4620.07,4622.65,4619.62,4621.62,597,130,0
2026-04-30 17:59:00,4621.62,4622.57,4619.61,4619.77,587,130,0
2026-04-30 18:00:00,4619.81,4622.95,4619.7,4621.3,666,130,0
2026-04-30 18:01:00,4621.29,4621.9,4619.21,4620.87,575,130,0
2026-04-30 18:02:00,4620.87,4621.1,4617.1,4617.64,595,130,0
2026-04-30 18:03:00,4617.63,4618.68,4616.87,4617.19,585,130,0
2026-04-30 18:04:00,4617.22,4617.71,4615.71,4617.26,615,130,0
2026-04-30 18:05:00,4617.21,4617.93,4614.97,4614.97,589,130,0
2026-04-30 18:06:00,4614.96,4617.23,4614.95,4616.55,548,130,0
2026-04-30 18:07:00,4616.53,4621.79,4616.53,4621.24,663,130,0
2026-04-30 18:08:00,4621.18,4621.83,4620.41,4621.67,606,130,0
2026-04-30 18:09:00,4621.66,4623.89,4620.73,4623.34,605,130,0
2026-04-30 18:10:00,4623.35,4624.12,4621.12,4621.38,579,130,0
2026-04-30 18:11:00,4621.43,4622.59,4620.52,4620.84,536,130,0
2026-04-30 18:12:00,4620.84,4622.14,4618.81,4619.3,588,130,0
2026-04-30 18:13:00,4619.3,4619.3,4616.59,4618.14,605,130,0
2026-04-30 18:14:00,4618.15,4620.08,4617.34,4620.08,567,130,0
2026-04-30 18:15:00,4620.03,4623.2,4619.07,4620.77,578,130,0
2026-04-30 18:16:00,4620.77,4620.91,4617.12,4618.58,571,130,0
2026-04-30 18:17:00,4618.63,4620.57,4617.29,4618.94,616,130,0
2026-04-30 18:18:00,4618.96,4619.88,4617.91,4617.95,632,130,0
2026-04-30 18:19:00,4617.94,4619.86,4617.52,4619.63,581,130,0
2026-04-30 18:20:00,4619.66,4619.74,4618.14,4619.41,589,130,0
2026-04-30 18:21:00,4619.44,4619.76,4616.76,4617.03,565,130,0
2026-04-30 18:22:00,4617.03,4617.03,4615.83,4616.54,577,130,0
2026-04-30 18:23:00,4616.34,4618.81,4615.85,4618.63,514,130,0
2026-04-30 18:24:00,4618.62,4621.04,4617.93,4620.65,506,130,0
2026-04-30 18:25:00,4620.67,4623.3,4619.58,4623.17,565,130,0
2026-04-30 18:26:00,4623.17,4623.97,4622.09,4622.09,512,130,0
2026-04-30 18:27:00,4621.99,4623.42,4621.0,4623.29,574,130,0
2026-04-30 18:28:00,4623.27,4623.92,4621.26,4621.33,532,130,0
2026-04-30 18:29:00,4621.34,4624.54,4621.26,4622.97,581,130,0
2026-04-30 18:30:00,4622.98,4623.94,4622.41,4623.51,601,130,0
2026-04-30 18:31:00,4623.5,4624.55,4622.85,4624.12,591,130,0
2026-04-30 18:32:00,4624.11,4625.41,4622.34,4623.15,572,130,0
2026-04-30 18:33:00,4623.13,4623.72,4621.64,4622.13,575,130,0
2026-04-30 18:34:00,4622.14,4624.47,4621.79,4623.23,585,130,0
2026-04-30 18:35:00,4623.22,4624.41,4622.68,4623.45,595,130,0
2026-04-30 18:36:00,4623.45,4623.72,4620.64,4620.92,585,130,0
2026-04-30 18:37:00,4620.94,4620.94,4618.41,4618.49,510,130,0
2026-04-30 18:38:00,4618.5,4618.5,4617.05,4617.95,494,130,0
2026-04-30 18:39:00,4617.99,4618.04,4615.29,4615.29,452,130,0
2026-04-30 18:40:00,4615.25,4616.45,4614.82,4616.14,555,130,0
2026-04-30 18:41:00,4616.13,4617.4,4614.99,4617.4,506,130,0
2026-04-30 18:42:00,4617.48,4617.76,4615.19,4616.69,470,130,0
